datetime,close,percent_b
2019-07-08,50.005,0.10981
2019-07-05,51.0575,0.0219043
2019-07-03,51.1025,-0.143978
2019-07-02,50.6825,-0.145657
2019-07-01,50.3875,-0.131707
2019-06-28,49.48,-0.183926
2019-06-27,49.935,-0.0188782
2019-06-26,49.95,0.127979
2019-06-25,48.8925,0.143031
2019-06-24,49.645,0.201039
2019-06-21,49.695,0.248265
2019-06-20,49.865,0.290202
2019-06-19,49.4675,0.400389
2019-06-18,49.6125,0.538392
2019-06-17,48.4725,0.443774
2019-06-14,48.185,0.669495
2019-06-13,48.5375,0.718935
2019-06-12,48.5475,0.765062
2019-06-11,48.7025,0.697852
2019-06-10,48.145,0.60456
2019-06-07,47.5375,1.06367
2019-06-06,46.305,1.09564
2019-06-05,45.635,1.05355
2019-06-04,44.91,0.970878
2019-06-03,43.325,1.02296
2019-05-31,43.7675,1.01775
2019-05-30,44.575,0.907134
2019-05-29,44.345,0.889189
2019-05-28,44.5575,0.654211
2019-05-24,44.7425,0.721627
2019-05-23,44.915,0.693879
2019-05-22,45.695,0.698416
2019-05-21,46.65,0.726599
2019-05-20,45.7725,0.713392
2019-05-17,47.25,0.60915
2019-05-16,47.52,0.568491
2019-05-15,47.73,0.523186
2019-05-14,47.165,0.356519
2019-05-13,46.43,0.310776
2019-05-10,49.295,0.171664
2019-05-09,50.18,0.159361
2019-05-08,50.725,0.268628
2019-05-07,50.715,0.216174
2019-05-06,52.12,0.267568
2019-05-03,52.9375,0.122868
2019-05-02,52.2875,0.0761094
2019-05-01,52.63,0.0961777
2019-04-30,50.1675,0.0433943
2019-04-29,51.1525,-0.0310554
2019-04-26,51.075,-0.00960816
2019-04-25,51.32,0.0119859
2019-04-24,51.79,0.0620678
2019-04-23,51.87,0.0422899
2019-04-22,51.1325,0.155092
2019-04-18,50.965,0.283195
2019-04-17,50.7825,0.500104
2019-04-16,49.8125,0.167565
2019-04-15,49.8075,0.126342
2019-04-12,49.7175,0.23183
2019-04-11,49.7375,0.168777
2019-04-10,50.155,0.0945747
2019-04-09,49.875,0.0421079
2019-04-08,50.025,0.050818
2019-04-05,49.25,-0.000244435
2019-04-04,48.9225,-0.145809
2019-04-03,48.8375,-0.0571573
2019-04-02,48.505,0.076172
2019-04-01,47.81,0.152799
2019-03-29,47.4875,0.198126
2019-03-28,47.18,0.197737
2019-03-27,47.1175,0.167892
2019-03-26,46.6975,0.256752
2019-03-25,47.185,0.261803
2019-03-22,47.7625,0.281275
2019-03-21,48.7725,0.256799
2019-03-20,47.04,0.186406
2019-03-19,46.6325,0.249645
2019-03-18,47.005,0.218623
2019-03-15,46.53,0.200206
2019-03-14,45.9325,0.227089
2019-03-13,45.4275,0.18978
2019-03-12,45.2275,0.253581
2019-03-11,44.725,0.113775
2019-03-08,43.2275,0.220918
2019-03-07,43.125,0.304157
2019-03-06,43.63,0.703732
2019-03-05,43.8825,0.6999
2019-03-04,43.9625,0.35531
2019-03-01,43.7425,-0.130724
2019-02-28,43.2875,-0.0424836
2019-02-27,43.7175,-0.0501274
2019-02-26,43.5825,-0.389591
2019-02-25,43.5575,-0.125362
2019-02-22,43.2425,0.0248322
2019-02-21,42.765,-0.0703509
2019-02-20,43.0075,0.0502456
2019-02-19,42.7325,0.0872728
2019-02-15,42.605,0.23431
2019-02-14,42.7,0.231118
2019-02-13,42.545,0.229975
2019-02-12,42.7225,0.202464
2019-02-11,42.3575,0.146858
2019-02-08,42.6025,0.244715
2019-02-07,42.735,0.312331
2019-02-06,43.56,0.317191
2019-02-05,43.545,0.248212
2019-02-04,42.8125,0.151275
2019-02-01,41.63,0.167733
2019-01-31,41.61,-0.059047
2019-01-30,41.3125,0.740443
2019-01-29,38.67,0.799413
2019-01-28,39.075,0.692952
2019-01-25,39.44,0.688533
2019-01-24,38.175,0.758883
2019-01-23,38.48,0.125042
2019-01-22,38.325,0.375443
2019-01-18,39.205,0.732708
2019-01-17,38.965,0.934936
2019-01-16,38.735,1.09138
2019-01-15,38.2675,0.930967
2019-01-14,37.5,0.93286
2019-01-11,38.0725,1.03914
2019-01-10,38.45,0.913123
2019-01-09,38.3275,0.854091
2019-01-08,37.6875,0.843061
2019-01-07,36.9825,0.77955
2019-01-04,37.065,0.91225
2019-01-03,35.5475,0.917412
2019-01-02,39.48,1.07622
2018-12-31,39.435,0.85871
2018-12-28,39.0575,0.842791
2018-12-27,39.0375,0.838613
2018-12-26,39.2925,0.653273
2018-12-24,36.7075,0.644384
2018-12-21,37.6825,0.559463
2018-12-20,39.2075,0.686528
2018-12-19,40.2225,0.678471
2018-12-18,41.5175,0.99294
2018-12-17,40.985,1.13879
2018-12-14,41.37,0.994307
2018-12-13,42.7375,0.810398
2018-12-12,42.275,0.932021
2018-12-11,42.1575,0.934573
2018-12-10,42.4,1.10971
2018-12-07,42.1225,1.08798
2018-12-06,43.68,1.03116
2018-12-04,44.1725,0.852455
2018-12-03,46.205,0.776091
2018-11-30,44.645,0.856983
2018-11-29,44.8875,1.04024
2018-11-28,45.235,0.919676
2018-11-27,43.56,0.794048
2018-11-26,43.655,0.751944
2018-11-23,43.0725,0.79373
2018-11-21,44.195,0.831295
2018-11-20,44.245,0.72594
2018-11-19,46.465,0.859481
2018-11-16,48.3825,0.791281
2018-11-15,47.8525,0.736884
2018-11-14,46.7,0.641705
2018-11-13,48.0575,0.759951
2018-11-12,48.5425,0.775824
2018-11-09,51.1175,0.604143
2018-11-08,52.1225,0.76274
2018-11-07,52.4875,0.443101
2018-11-06,50.9425,0.508933
2018-11-05,50.3975,0.925299
2018-11-02,51.87,0.798472
2018-11-01,55.555,0.823199
2018-10-31,54.715,0.991423
2018-10-30,53.325,1.08344
2018-10-29,53.06,0.898611
2018-10-26,54.075,0.778091
2018-10-25,54.95,0.680914
2018-10-24,53.7725,0.626978
2018-10-23,55.6825,0.373032
2018-10-22,55.1625,0.471029
2018-10-19,54.8275,0.394265
2018-10-18,54.005,0.232419
2018-10-17,55.2975,0.341789
2018-10-16,55.5375,0.261497
2018-10-15,54.34,0.270288
2018-10-12,55.5275,0.248031
2018-10-11,53.6125,0.565782
2018-10-10,54.09,0.685741
2018-10-09,56.7175,0.352035
2018-10-08,55.9425,0.534437
2018-10-05,56.0725,0.213204
2018-10-04,56.9975,0.403576
2018-10-03,58.0175,0.529279
2018-10-02,57.32,0.825817
2018-10-01,56.815,0.94863
2018-09-28,56.435,0.889666
2018-09-27,56.2375,0.702271
2018-09-26,55.105,0.557692
2018-09-25,55.5475,0.313555
2018-09-24,55.1975,0.20833
2018-09-21,54.415,0.12036
2018-09-20,55.0075,0.0983176
2018-09-19,54.5925,0.111273
2018-09-18,54.56,0.137249
2018-09-17,54.47,0.180463
